ac_number,constituency,reserved,region,evm_votes_2026,postal_votes_2026,total_votes_2026,electorate,turnout_2026_pct
1,Gummidipundi,GEN,Chennai Metro,230900,1622,232522,284412,81.76
2,Ponneri,SC,Chennai Metro,225676,1143,226819,268995,84.32
3,Tiruttani,GEN,Chennai Metro,235620,3178,238798,295358,80.85
4,Thiruvallur,GEN,Chennai Metro,224649,1779,226428,277517,81.59
5,Poonamallee,SC,Chennai Metro,307080,1814,308894,361332,85.49
6,Avadi,GEN,Chennai Metro,343510,2495,346005,446678,77.46
7,Maduravoyal,GEN,Chennai Metro,292510,1182,293692,454179,64.66
8,Ambattur,GEN,Chennai Metro,258991,995,259986,387517,67.09
9,Madavaram,GEN,Chennai Metro,360146,1852,361998,456080,79.37
10,Thiruvottiyur,GEN,Chennai Metro,206375,713,207088,306978,67.46
11,Dr. Radhakrishnan Nagar,GEN,Chennai Metro,180530,676,181206,263493,68.77
12,Perambur,GEN,Chennai Metro,203072,1312,204384,318075,64.26
13,Kolathur,GEN,Chennai Metro,182393,1658,184051,284056,64.79
14,Villivakkam,GEN,Chennai Metro,140519,933,141452,257675,54.9
15,Thiru-Vi-Ka-Nagar,SC,Chennai Metro,142863,1040,143903,220548,65.25
16,Egmore,SC,Chennai Metro,118726,1012,119738,195110,61.37
17,Royapuram,GEN,Chennai Metro,126345,1011,127356,193596,65.78
18,Harbour,GEN,Chennai Metro,99283,339,99622,176353,56.49
19,Chepauk-Thiruvallikeni,GEN,Chennai Metro,139923,818,140741,235565,59.75
20,Thousand Lights,GEN,Chennai Metro,130367,1457,131824,241671,54.55
21,Anna Nagar,GEN,Chennai Metro,161762,1577,163339,287975,56.72
22,Virugampakkam,GEN,Chennai Metro,171507,1324,172831,293605,58.87
23,Saidapet,GEN,Chennai Metro,158935,1466,160401,279510,57.39
24,Theayagaraya Nagar,GEN,Chennai Metro,132639,1289,133928,246676,54.29
25,Mylapore,GEN,Chennai Metro,149277,1317,150594,271078,55.55
26,Velachery,GEN,Chennai Metro,183207,1608,184815,314550,58.76
27,Shozhinganallur,GEN,Chennai Metro,445292,2003,447295,699613,63.93
28,Alandur,GEN,Chennai Metro,259271,2299,261570,390909,66.91
29,Sriperumbudur,SC,Chennai Metro,328675,2413,331088,357401,92.64
30,Pallavaram,GEN,Chennai Metro,281816,1861,283677,437387,64.86
31,Tambaram,GEN,Chennai Metro,276997,1812,278809,418082,66.69
32,Chengalpattu,GEN,Chennai Metro,322054,1956,324010,431361,75.11
33,Thiruporur,GEN,North,260802,1607,262409,296921,88.38
34,Cheyyur,SC,North,185623,1961,187584,229995,81.56
35,Maduranthakam,SC,North,196289,1962,198251,230430,86.04
36,Uthiramerur,GEN,North,224243,3522,227765,262833,86.66
37,Kancheepuram,GEN,North,242761,3556,246317,313090,78.67
38,Arakonam,SC,North,181023,1317,182340,228885,79.66
39,Sholinghur,GEN,North,231701,1983,233684,279821,83.51
40,Katpadi,GEN,North,201505,1992,203497,251684,80.85
41,Ranipet,GEN,North,219709,1329,221038,268594,82.29
42,Arcot,GEN,North,223284,2502,225786,263490,85.69
43,Vellore,GEN,North,188777,1750,190527,256084,74.4
44,Anaikattu,GEN,North,214039,2279,216318,256723,84.26
45,Kilvaithinankuppam,SC,North,187843,2049,189892,227613,83.43
46,Gudiyatham,SC,North,227703,1373,229076,291662,78.54
47,Vaniayambadi,GEN,North,211081,1453,212534,251485,84.51
48,Ambur,GEN,North,194348,1236,195584,240343,81.38
49,Jolarpet,GEN,North,210834,2208,213042,242477,87.86
50,Tiruppattur,GEN,North,201105,1820,202925,241562,84.01
51,Uthangarai,SC,North,202558,2972,205530,240172,85.58
52,Bargur,GEN,North,210467,3493,213960,250106,85.55
53,Krishnagiri,GEN,North,226695,3486,230181,269615,85.37
54,Veppanahalli,GEN,North,221038,1570,222608,252295,88.23
55,Hosur,GEN,North,275561,2209,277770,353971,78.47
56,Thalli,GEN,North,204288,1590,205878,251780,81.77
57,Palacode,GEN,North,222470,2787,225257,236460,95.26
58,Pennagaram,GEN,North,225401,3265,228666,247418,92.42
59,Dharmapuri,GEN,North,233205,5374,238579,272723,87.48
60,Pappireddippatti,GEN,North,231851,4770,236621,269013,87.96
61,Harur,SC,North,215306,4736,220042,253078,86.95
62,Chengam,SC,North,240490,2407,242897,277647,87.48
63,Tiruvannamalai,GEN,North,217812,2254,220066,291304,75.55
64,Kilpennathur,GEN,North,217343,2447,219790,256945,85.54
65,Kalasapakkam,GEN,North,211528,2599,214127,244443,87.6
66,Polur,GEN,North,208975,2768,211743,245369,86.3
67,Arani,GEN,North,227495,2667,230162,277332,82.99
68,Cheyyar,GEN,North,220618,1952,222570,262529,84.78
69,Vandavasi,SC,North,189255,1949,191204,242122,78.97
70,Gingee,GEN,Central,214504,2148,216652,264519,81.9
71,Mailam,GEN,Central,187365,1856,189221,222628,84.99
72,Tindivanam,SC,Central,194121,1905,196026,232740,84.23
73,Vanur,SC,Central,191003,1116,192119,228359,84.13
74,Villupuram,GEN,Central,213097,2325,215422,266156,80.94
75,Vikravandi,GEN,Central,207043,2188,209231,237888,87.95
76,Tirukkoyilur,GEN,Central,215088,2230,217318,257266,84.47
77,Ulundurpet,GEN,Central,268368,2634,271002,296360,91.44
78,Rishivandiam,GEN,Central,243150,1645,244795,268279,91.25
79,Sankarapuram,GEN,Central,232875,2653,235528,271176,86.85
80,Kallakurichi,SC,Central,247160,2466,249626,288969,86.39
81,Gangavalli,SC,Central,193834,2845,196679,241866,81.32
82,Attur,SC,Central,205764,2532,208296,258534,80.57
83,Yercaud,ST,Central,251018,2574,253592,287548,88.19
84,Omalur,GEN,Central,267826,3293,271119,299024,90.67
85,Mettur,GEN,Central,228090,3015,231105,291217,79.36
86,Edapadi,GEN,Central,254500,3763,258263,288768,89.44
87,Sankari,GEN,Central,241097,2682,243779,277442,87.87
88,Salem (West),GEN,Central,232232,2175,234407,301668,77.7
89,Salem (North),GEN,Central,208605,2107,210712,280532,75.11
90,Salem (South),GEN,Central,206492,1410,207902,263134,79.01
91,Veerapandi,GEN,Central,233839,2036,235875,261212,90.3
92,Rasipuram,SC,Central,201326,3354,204680,239980,85.29
93,Sendamangalam,ST,Central,206782,2905,209687,246182,85.18
94,Namakkal,GEN,Central,208583,3700,212283,263153,80.67
